"ID","Ref","Created","Updated","Name","Description","Scope of works","Status","Priority","Property Ref","Property Client Ref","Property Name","Property Account Manager","Property Certification Date","Client Ref","Client","Primary Contact Name","Primary Contact Email","Contractor","Task Value","Category","Tags","Address","Site Suburb","Postal code","Assigned Technician","Supporting Technicians","Assigned Office","Technician","Salesperson","Round","Due","Due After","Scheduled Date","Performed Date","Completed Date","On-site Date","SLA","Due (on site)","Due (performed)","Time to Site (SLA)","Time to Performed (SLA)","Authorisation Ref","Authorisation Amount","Contractor Authorisation Limit","Workorder URL","Internal Note","Invoice Note","Technician Note","Latitude","Longitude","Access Procedure","Access Note","Access Code","Access Schedule","Access Window","Is Active","Deleted","Invoiced","Inactive Date","Billing Card Ref","Billing Card Name","Branch","Cost Centre","Service Group","Zone","Est. Duration","Author","Updated By","Parent Task","Minor Job"
39833,"T-39833","2026-04-13 09:43:40","2026-04-13 10:38:58","SQ-0773 Works","FIP Program Retrieval","**Scope of Works**

1. Fire Panel Technician to attend site and retrieve the FIP Program
2. Convert to xlsx format","REVISIT",5,"","","","","","CO-1681","GPT RE Limited","Rodney Symons","Rodney.Symons@gpt.com.au","",0.0000,"Repair","","16 Templar Rd, Erskine Park NSW 2759, Australia","","","Gordon Jenkins","","Casper Tavitian","Gordon Jenkins","","","2026-04-13","","2026-04-13 13:00:00","","","2026-04-13 10:38:50","","","","","","","165.00","","","","","","","","","","","NR","",True,"",False,"","CO-1761","The GPT Group","","[] ","R DETECTION","","","Casper Tavitian","Gordon Jenkins"," ",""
39238,"T-39238","2026-04-09 14:00:02","2026-04-10 14:34:35","QD-2676 Works","Critical Defect - PSU Failure (OWS)","**Scope of Works**

1. Fire Panel Technician to attend and replace PSU for OWS System","PERFORMED",5,"39A116 AU106","","Goodman AU106 - M5 Industry Park - Building 1 -  1 Moorebank Avenue, Moorebank, NSW 2170","","2021-04-06","","Goodman Property Services (Aust) Pty Limited  SC01822","Lisa Harmer","Lisa.Harmer@goodman.com","",0.0000,"Repair","","1 Moorebank Avenue, MOOREBANK, NSW, 2170, Australia","Moorebank","2170","Gordon Jenkins","","","Gordon Jenkins","","","","","2026-04-10 12:00:00","2026-04-10 11:11:24","","2026-04-10 10:13:08","","","","","","","1818.50","","","Tech note:
Picked up power supply from Ampac replaced power supply in Simon’s transport tested OWS now working photos and documents","As per accepted defect quote QD-2676 dated 08-04-2026.","Picked up power supply from Ampac replaced power supply in Simon’s transport tested OWS now working photos and documents",-33.9296217,150.9300115,"CA","Andy 0416559771 - Recall Library Key for Aircon Room Eugene 0419257081
Testing of Bldg 2B fire services to be reinstated as from April 1, 2022
Goodman: Lisa Harmer 0482 919 973","","OA","",True,"",False,"","CO-074","Goodman Property Services (Aust) Pty Limited","","[] ","R DETECTION","","00:00:00","Casper Tavitian","Casper Tavitian"," ",""
39012,"T-39012","2026-04-08 12:11:16","2026-04-10 13:17:19","Callout - Failed OWS ","Callout - Failed OWS ","","PERFORMED",5,"39A116 AU106","","Goodman AU106 - M5 Industry Park - Building 1 -  1 Moorebank Avenue, Moorebank, NSW 2170","","2021-04-06","","Goodman Property Services (Aust) Pty Limited  SC01822","Lisa Harmer","Lisa.Harmer@goodman.com","",460.0000,"Callout","","1 Moorebank Avenue, MOOREBANK, NSW, 2170, Australia","Moorebank","2170","Gordon Jenkins","","Casper Tavitian","Gordon Jenkins","","","","","2026-04-08 12:00:00","2026-04-08 13:28:49","","2026-04-08 13:26:57","","","","","","","","","","","","Checked fire system. OWS not operational due to failed power supply. Power supply replacement required before further diagnostics can proceed.",-33.9296217,150.9300115,"CA","Andy 0416559771 - Recall Library Key for Aircon Room Eugene 0419257081
Testing of Bldg 2B fire services to be reinstated as from April 1, 2022
Goodman: Lisa Harmer 0482 919 973","","OA","",True,"",False,"","CO-074","Goodman Property Services (Aust) Pty Limited","","[] ","R DETECTION","","","Casper Tavitian","Casper Tavitian"," ",""
38842,"T-38842","2026-04-08 07:24:50","2026-04-09 07:29:56","QD-2660 Works","Module replacement as per Callout conducted on the 6th of April 2026","Fire Panel Technician to attend and investigate module fault:
Replace Module with new and rectify any wiring faults

***Note***
If any additional work is needed outside the original scope, and the faults turn out to be unrelated to what's covered above, we'll provide a separate quote before proceeding.","REVISIT",5,"39579","PO 559239  on all invoices","15-19 McPherson St, Banksmeadow, NSW 2019","","2025-04-04","CO-1621","Roth Industrial","Sally Roth","sally@rothindustrial.com.au","",1660.0000,"Repair","","15 McPherson St, Banksmeadow, NSW, 2019, Australia","Banksmeadow","2019","Gordon Jenkins","","","Gordon Jenkins","","","","","2026-04-09 07:00:00","","","2026-04-09 06:57:02","","","","","","Email recvd 7.4.24","1660.00","","","","As per accepted defect quote QD-2660 dated 07-04-2026.","Turned up to site found fan control card on panel has failed. Also we need boom to repair Fire wire. This needs to be done next week. Photos in documents.",-33.9595429,151.2171865,"","82
**SITE VACANT** contact Sally Roth 0413159311 for access
Gate code: 1570#","","NR","",True,"",False,"","*None","Roth Industries","","[] ","R DETECTION","","00:00:00","Casper Tavitian","Gordon Jenkins"," ",""
38182,"T-38182","2026-04-02 09:04:30","2026-04-07 10:43:36","QD-2266 Works","Red Code - fault in the panel","I was notified by gatehouse today that around 09:10  we got a call from control room with Red Code - fault in the panel. 
 
Could you please send someone to sort this out?

Attendance today, 9/2/26","PERFORMED",5,"39694","","Kraft Heinz - 92-96 Station Road, Seven Hills, NSW 2147","","2023-07-27","245","Kraft-Heinz Co Australia Ltd","Kraft-Heinz Co Australia Ltd","sergey.antonov@kraftheinz.com","",0.0000,"Repair","","92-96 Station Road, SEVEN HILLS, NSW, 2147, Australia","Seven Hills","2147","Gordon Jenkins","","","Gordon Jenkins","","","","","2026-04-07 12:00:00","2026-04-07 10:43:36","","2026-04-07 10:35:21","","","","","","7710118736","460.00","","","","As per accepted defect quote QD-2266 dated 09-02-2026.","Charger fault on EWIS reset fault cleaner system now normal",-33.7756711,150.9418248,"","Sergey Antonov 0403 192 958
'CC' **cerebos-gatehouse@kraftheinz.com** when booking works in
Instructions - Techs to register themselves
1. Register on our new platform here:
<https://www.onlineinduction.com/kraftheinzoi/start.php>
2. Complete Induction 
<https://www.onlineinduction.com/kraftheinzoi>","","NR","",True,"",False,"","CO-1640","Cerebos ( Australia) Ltd","","[] ","R DETECTION","","00:00:00","Casper Tavitian","Gordon Jenkins"," ",""
37159,"T-37159","2026-03-30 11:39:40","2026-04-13 08:39:23","QD-2520 Works","AFSS Inspection Report Feb 2026","Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below:

Section 2 – Assessment results and observations
1.  Automatic Fire Suppression System
At the time of assessment, the following non-compliances were observed that are required to be rectified:
-  There are two big ass fans in the warehouse that do not trip on the fire alarm. The fans need to shut off when the fire alarm is activated as they will obstruct the flow of water from the sprinklers.
-  The automation section requires a fire trip installed to shut down on the fire alarm. The details of the fire trip need to be updated on the zone block plan.

**Kindly note further quote may be required after initial investigation.** If you have any questions or need further clarification, feel free to reach out.

Thank you for your understanding and continued support.","REVISIT",5,"39A679","","Jacfin Ricoh - 4  Telopea Place, Eastern Creek, NSW 2766","","","","FlameSafe Warranty (Contracts)","Jack Santangelo","","",1325.0025,"Repair","","4 Telopea Pl, Eastern Creek NSW 2766, Australia","Eastern Creek","2766","Gordon Jenkins","","","Gordon Jenkins","","","","","2026-04-13 06:00:00","","","2026-04-13 05:51:00","","","","","","Damien Luksic - approved AFSS","1325.00","","","","As per accepted defect quote QD-2520 dated 13-03-2026.","",-33.8114484,150.8327009,"CA","Damien Luksic - 0436 016 268  (Knight Frank)
Brian Castle - 0466 764 962 (Ricoh - tenant)","","OA","",True,"",False,"","","FlameSafe Warranty (Contracts)","","[] ","R DETECTION","","00:00:00","Jamie Wright","Gordon Jenkins"," ",""
36205,"T-36205","2026-03-25 07:27:21","2026-04-07 14:48:59","SQ-0702 Works","Superintendents & Residence Smoke Detection","Testing of the smoke detectors that are currently install in the building.

Due to the installation require security to see if the detectors either are local or connected to the security system.

May require to add additional detectors, we would be able to supply and install domestic detectors that are interconnected to each other.

Waiting on quote for Evac plans to be installed

once detectors have been tested if required to add extra domestic detectors costs per detector will be

Per domestic smoke detector - $342.80

Per domestic Thermal detector - $365.20","PERFORMED",5,"P1108","","Centennial Park - Grand Drive Sydney NSW 2021","","","","Greater Sydney Parklands C/ - JLL","Jason Simpson","jason.simpson@jll.com","",0.0000,"Repair","","Grand Dr, Centennial Park NSW 2021, Australia","Centennial Park","2021","Gordon Jenkins","","Jamie Wright","Gordon Jenkins","","","","","2026-03-25 11:30:00","2026-04-07 14:48:59","","2026-03-25 15:25:49","","","","","","W-03344-000003","590.00","","","","","",-33.8964626,151.2304826,"","","","NR","",True,"",False,"","CO-1513","Jones Lang Lasalle","","[] ","R DETECTION","","","Jamie Wright","Casper Tavitian"," ",""
36204,"T-36204","2026-03-25 07:23:19","2026-04-07 14:49:08","SQ-0703 Works","Park Rangers & Residence Smoke Detection","Testing of the smoke detectors that are currently install in the building.

Due to the installation require security to see if the detectors either are local or connected to the security system.

May require to add additional detectors, we would be able to supply and install domestic detectors that are

interconnected to each other.

Waiting on quote for Evac plans to be installed

once detectors have been tested if required to add extra domestic detectors costs per detector will be

Per domestic smoke detector - $342.80

Per domestic Thermal detector - $365.20","PERFORMED",5,"P1108","","Centennial Park - Grand Drive Sydney NSW 2021","","","","Greater Sydney Parklands C/ - JLL","Jason Simpson","jason.simpson@jll.com","",0.0000,"Repair","","Grand Dr, Centennial Park NSW 2021, Australia","Centennial Park","2021","Gordon Jenkins","","Jamie Wright","Gordon Jenkins","","","","","2026-03-25 07:30:00","2026-04-07 14:49:08","","2026-03-25 10:24:55","","","","","","W-03342-000002","520.00","","","","","",-33.8964626,151.2304826,"","","","NR","",True,"",False,"","CO-1513","Jones Lang Lasalle","","[] ","R DETECTION","","","Jamie Wright","Casper Tavitian"," ",""
36078,"T-36078","2026-03-24 10:17:28","2026-04-02 13:05:59","QD-1994 Works","AFSS inspection report December","As per scope of Works

Section 2 – Assessment results and observations

8.  Unit 13
At the time of assessment, the following non-compliances were observed that are required to be rectified:

-  Additional detection is required in the top floor offices 

-  There have been renovations allowing roof access via the top floor office space, the void area between the office ceiling and the roof of the building should have fire detection installed. Further investigation required to comply with AS1670.1. 

-  There have been more modifications to the office area, an additional 4 detectors are required. The entire top floor and ceiling void need to be reviewed with compliant detection installed. The measure will only be endorsed on the completion of works.

Further quote will be required after site inspection","REVISIT",5,"39A277","","Silverwater Industrial Park -  Corner Fariola St, Slough Ave & Rachael Cl Silverwater, NSW 2128","","2019-03-05","","Lendlease Real Estate Investments Ltd C/- JLL","Lester Rodrigues","lester.rodrigues@jll.com","",1040.0040,"Repair","","Corner Fariola St, Slough Ave & Rachael Close, SILVERWATER, NSW, 2128, Australia","Silverwater","2128","Gordon Jenkins","","","Gordon Jenkins","","","","","2026-04-02 11:34:00","","","2026-04-02 13:05:55","","","","","","W-00079-000148","1040.00","","","","As per accepted defect quote QD-1994 dated 18-12-2025.","Had I look up into the roof? Space will need to add concealed detectors in office. The distance is 21 m x 37 m. Also install more detectors and level one office area. All zones on fire panel are used. Will need an extra zone card for 1600 and run cable from Fire panel to office area through warehouse. Boom required. Call for more information.",-33.8329958,151.0501315,"","Lester Rodrigues","","NR","",True,"",False,"","CO-1513","Jones Lang Lasalle","","[] ","R DETECTION","","00:00:00","Jamie Wright","Gordon Jenkins"," ",""
36038,"T-36038","2026-03-24 06:45:27","2026-04-01 11:31:48","QD-2126... Works","Monthly defect inspection","Dear Customer,

We hope you're doing well. Following our routine monthly testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below:


**Kindly note further quote may be required after initial investigation.** If you have any questions or need further clarification, feel free to reach out.

Thank you for your understanding and continued support.","PERFORMED",5,"39A287","","3M - 1A Rivett Road, North Ryde, NSW 2113","","2019-05-28","","Quality Green Metro Pty Ltd as Trustee for Quality Green Metro Unity Trust","Noel Taylor","noel.t@qualitygreengroup.com.au","",0.0000,"Repair","","1A Rivett Road, NORTH RYDE, NSW, 2113, Australia","North Ryde","2113","Gordon Jenkins","","","Gordon Jenkins","","","","","2026-04-01 12:00:00","2026-04-01 11:31:48","","2026-04-01 11:01:34","","","","","","Chanuka Wijayasiri - Approved","657.49","","","","As per accepted defect quote QD-2126 - FIP dated 16-01-2026.","Replaced module in Fire services room fire panel now clear system all normal photos in documents",-33.7972736,151.1392603,"","Auto jacking pump hydrant system
Lock Passcode at front door - 1988
Noel Taylor 0402677345","","NR","",True,"",False,"","1234","Quality Green Metro Pty Ltd","","[] ","R DETECTION","","00:00:00","Jamie Wright","Gordon Jenkins"," ",""
